date,followers,difference
2019-12-08,21612125,11982
2019-12-09,21621054,8929
2019-12-10,21622951,1897
2019-12-11,21621853,-1098
2019-12-12,21629733,7880
2019-12-13,21633853,4120
2019-12-15,21635248,1395
2019-12-16,21649039,13791
2019-12-18,21668396,19357
2019-12-19,21668767,371
2019-12-20,21672165,3398
2019-12-21,21677143,4978
2019-12-22,21683756,6613
2019-12-23,21687427,3671
2019-12-24,21692319,4892
2019-12-25,21697296,4977
2019-12-26,21703165,5869
2019-12-27,21709114,5949
2019-12-28,21713893,4779
2019-12-29,21719223,5330
2019-12-30,21724155,4932
2019-12-31,21728647,4492
2020-01-01,21733739,5092
2020-01-02,21741804,8065
2020-01-09,21760016,18212
2020-01-10,21760016,0
2020-01-11,21760016,0
2020-01-12,21760016,0
2020-01-13,21760016,0
2020-01-14,21840232,80216
2020-01-15,21849800,9568
2020-01-16,21857509,7709
2020-01-17,21875828,18319
2020-01-18,21881425,5597
2020-01-19,21890293,8868
2020-01-20,21899790,9497
2020-01-21,21908116,8326
2020-01-22,21915185,7069
2020-01-23,21915185,0
2020-01-24,21915185,0
2020-01-25,21915185,0
2020-01-26,21915185,0
2020-01-27,21915185,0
2020-01-28,21915185,0
2020-01-29,21915185,0
2020-01-30,21915185,0
2020-01-31,21915185,0
2020-02-01,21990473,75288
2020-02-02,21999173,8700
2020-02-03,22009144,9971
2020-02-04,22015554,6410
2020-02-05,22027366,11812
2020-02-06,22027366,0
2020-02-07,22039778,12412
2020-02-08,22045034,5256
2020-02-09,22051347,6313
2020-02-10,22056094,4747
2020-02-11,22062190,6096
2020-02-12,22062190,0
2020-02-13,22077710,15520
2020-02-14,22086809,9099
2020-02-15,22095121,8312
2020-02-16,22106703,11582
2020-02-17,22106703,0
2020-02-18,22124256,17553
2020-02-19,22124256,0
2020-02-20,22134264,10008
2020-02-21,22141363,7099
2020-02-22,22147632,6269
2020-02-24,22161529,13897
2020-02-25,22163977,2448
2020-02-26,22163977,0
2020-02-28,22167163,3186
2020-02-29,22192460,25297
2020-03-01,22205115,12655
2020-03-02,22205115,0
2020-03-03,22220579,15464
2020-03-04,22226998,6419
2020-03-05,22226998,0
2020-03-06,22226998,0
2020-03-07,22226998,0
2020-03-08,22226998,0
2020-03-09,22226998,0
2020-03-10,22299001,72003
2020-03-11,22301202,2201
2020-03-12,22302685,1483
2020-03-13,22315304,12619
2020-03-14,22326506,11202
2020-03-15,22338158,11652
2020-03-16,22348659,10501
2020-03-17,22359614,10955
2020-03-18,22371080,11466
2020-03-19,22376618,5538
2020-03-20,22383660,7042
2020-03-21,22402608,18948
2020-03-22,22413734,11126
2020-03-23,22413734,0
2020-03-24,22428330,14596
2020-03-25,22443586,15256
2020-03-26,22443819,233
2020-03-27,22475768,31949
2020-03-28,22500488,24720
2020-03-29,22514902,14414
2020-03-30,22514902,0
2020-03-31,22528788,13886
2020-04-01,22557767,28979
2020-04-02,22570810,13043
2020-04-03,22581185,10375
2020-04-04,22584322,3137
2020-04-05,22595985,11663
2020-04-06,22609159,13174
2020-04-07,22622326,13167
2020-04-08,22636026,13700
2020-04-09,22650747,14721
2020-04-10,22663229,12482
2020-04-11,22679461,16232
2020-04-12,22695638,16177
2020-04-13,22716726,21088
2020-04-14,22729028,12302
2020-04-15,22743649,14621
2020-04-16,22758086,14437
2020-04-17,22772109,14023
2020-04-18,22796928,24819
2020-04-19,22811556,14628
2020-04-20,22826034,14478
2020-04-21,22837182,11148
2020-04-22,22852906,15724
2020-04-23,22854202,1296
2020-04-24,22886801,32599
2020-04-25,22886801,0
2020-04-26,22914976,28175
2020-04-27,22928270,13294
2020-04-28,22928270,0
2020-04-30,22959133,30863
2020-05-01,22976129,16996
2020-05-02,22991813,15684
2020-05-03,23011465,19652
2020-05-04,23032860,21395
2020-05-05,23051570,18710
2020-05-06,23072017,20447
2020-05-07,23106795,34778
2020-05-08,23113604,6809
2020-05-09,23132001,18397
2020-05-10,23131426,-575
2020-05-11,23154774,23348
2020-05-12,23173627,18853
